,round_id,answer,started_at,updated_at,answered_in_round,phase_id
0,18446744073709551617,7270031,1637624442,1637624442,18446744073709551617,1
1,18446744073709551618,7285189,1637628170,1637628170,18446744073709551618,1
2,18446744073709551619,7307625,1637631739,1637631739,18446744073709551619,1
3,18446744073709551620,7271000,1637633710,1637633710,18446744073709551620,1
4,18446744073709551621,7308400,1637636693,1637636693,18446744073709551621,1
5,18446744073709551622,7334469,1637640329,1637640329,18446744073709551622,1
6,18446744073709551623,7337514,1637643900,1637643900,18446744073709551623,1
7,18446744073709551624,7352756,1637647584,1637647584,18446744073709551624,1
8,18446744073709551625,7349419,1637651188,1637651188,18446744073709551625,1
9,18446744073709551626,7342626,1637654805,1637654805,18446744073709551626,1
10,18446744073709551627,7346222,1637658491,1637658491,18446744073709551627,1
11,18446744073709551628,7308246,1637660989,1637660989,18446744073709551628,1
12,18446744073709551629,7345150,1637664311,1637664311,18446744073709551629,1
13,18446744073709551630,7361592,1637667981,1637667981,18446744073709551630,1
14,18446744073709551631,7350000,1637671614,1637671614,18446744073709551631,1
15,18446744073709551632,7354467,1637675209,1637675209,18446744073709551632,1
16,18446744073709551633,7391587,1637677251,1637677251,18446744073709551633,1
17,18446744073709551634,7433363,1637679125,1637679125,18446744073709551634,1
18,18446744073709551635,7473209,1637679334,1637679334,18446744073709551635,1
19,18446744073709551636,7511464,1637680246,1637680246,18446744073709551636,1
20,18446744073709551637,7530886,1637683880,1637683880,18446744073709551637,1
21,18446744073709551638,7568959,1637686813,1637686813,18446744073709551638,1
22,18446744073709551639,7545242,1637690434,1637690434,18446744073709551639,1
23,18446744073709551640,7523022,1637694044,1637694044,18446744073709551640,1
24,18446744073709551641,7536542,1637697661,1637697661,18446744073709551641,1
25,18446744073709551642,7576102,1637699386,1637699386,18446744073709551642,1
26,18446744073709551643,7554161,1637702986,1637702986,18446744073709551643,1
27,18446744073709551644,7536058,1637706603,1637706603,18446744073709551644,1
28,18446744073709551645,7544000,1637710308,1637710308,18446744073709551645,1
29,18446744073709551646,7559453,1637713931,1637713931,18446744073709551646,1
